name,age,heigth,weigth,salary,position,goals
Juan Lopez,28,1.75,70,2.5,delantero,15
Pedro Gomez,25,1.80,75,3.0,centrocampista,8
Luis Hernandez,31,1.82,80,2.2,defensa,2
Carlos Rodriguez,29,1.78,72,2.8,arquero,0
Andres Martinez,27,1.76,71,2.6,delantero,10
Fernando Castro,26,1.79,74,2.9,centrocampista,5
Pablo Jimenez,30,1.81,78,2.3,defensa,1
Hector Sanchez,28,1.77,73,2.7,arquero,0
Ricardo Morales,24,1.74,69,2.4,delantero,12
Gonzalo Ortega,25,1.80,76,2.8,centrocampista,7
Sebastian Mendoza,29,1.83,81,2.1,defensa,3
