name,age,heigth,weigth,salary,position,goals
Eduardo Perez,28,1.75,70,2.5,delantero,15
Carlos Hernandez,24,1.80,75,3.0,centrocampista,10
Luis Ramirez,30,1.82,80,2.0,defensa,5
Juan Lopez,27,1.85,85,2.8,arquero,0
Pedro Garcia,29,1.78,72,2.3,delantero,20
Manuel Rodriguez,26,1.79,77,2.7,centrocampista,8
Javier Martinez,31,1.84,82,2.1,defensa,3
Jose Torres,28,1.77,74,2.6,arquero,0
Ricardo Sanchez,25,1.76,71,2.4,delantero,12
Fernando Gomez,23,1.81,76,2.9,centrocampista,6
Antonio Chavez,27,1.83,81,2.2,defensa,2
