name,age,heigth,weigth,salary,position,goals
Taro Yamada,25,1.75,70,3.5,delantero,15
Jiro Tanaka,28,1.82,78,4.2,centrocampista,10
Saburo Suzuki,23,1.78,72,2.8,defensa,2
Shiro Sato,30,1.85,80,5.0,arquero,0
Goro Nakamura,27,1.80,75,3.9,delantero,12
Rokuro Inoue,24,1.77,71,3.0,centrocampista,8
Shichiro Kimura,26,1.79,73,3.7,defensa,4
Hachiro Hayashi,29,1.83,79,4.5,arquero,0
Kichiro Takahashi,26,1.80,75,3.9,delantero,10
Juro Watanabe,23,1.78,72,2.8,centrocampista,7
Shuro Ito,28,1.82,78,4.2,defensa,3
